run_id,1,2,3,15,7,6,8,9,28,34
latent_dim,128,64,32,32,64,32,32,128,64,32
lr,0.0002,0.0001,0.0001,0.0002,0.0002,5.00E-05,5.00E-05,5.00E-05,0.0002,0.0002
betas_0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0,0
gate_weight,1,5,1,5,10,5,1,10,5,10
recon_weight,10,10,10,5,5,10,10,1,10,10
tc_weight,0,0.5,2,1,0,1,2,0.5,0.5,0.5
fm_weight,0.5,0.5,0.5,1,2,1,1,2,1,1
elapsed_s,322.8,322.5,346.1,348.6,427.4,351.5,373.7,457.2,360.8,2103.3
metric__zero_ratio_diff,0.024,0.034,0.063,0.011,0.002,0.033,0.073,0.022,0.038,0.003
metric__mean_diff,711.912,915.524,801.783,1207.302,398.853,1110.716,1975.776,2257.354,805.651,721.441
metric__std_diff,910.615,1211.665,631.076,5474.926,290.094,1516.037,2641.845,3111.682,1102.186,1350.739
metric__skewness_diff,0.540,0.348,0.597,0.499,2.895,0.389,0.091,20.001,0.628,0.710
metric__kurtosis_diff,13.079,10.180,15.794,1.782,51.430,11.158,3.964,644.723,13.611,14.123
metric__quantile_10_diff,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
metric__quantile_25_diff,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
metric__quantile_50_diff,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
metric__quantile_75_diff,3568.698,3875.374,5040.737,1319.984,971.351,4756.399,6551.678,1319.940,3723.672,52.317
metric__quantile_90_diff,2822.448,3620.289,2213.275,2867.933,1033.969,4178.499,6719.904,9991.697,2862.814,3361.188
metric__quantile_95_diff,1545.588,2344.104,356.607,18394.516,2267.978,3003.404,6255.983,13531.754,2058.401,2793.183
metric__quantile_99_diff,3424.546,1884.621,4819.143,25219.802,7661.044,1279.452,3326.686,19329.545,1890.399,1667.125
metric__mean_quantile_diff,1623.040,1674.913,1775.680,6828.891,1704.906,1888.251,3264.893,6310.419,1505.041,1124.830
metric__autocorr_mae,0.106,0.094,0.097,0.033,0.094,0.102,0.099,0.075,0.104,0.106
metric__wasserstein_distance,2210.168,2290.182,1754.323,8842.176,2086.122,2888.046,3829.793,8967.890,1778.294,3091.431
metric__kl_divergence,0.155,0.143,0.152,1.008,0.130,0.197,0.187,2.254,0.096,0.216
metric__mmd,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
metric__ps,2376.839,2376.955,2376.864,2377.020,2376.931,2377.139,2377.039,2376.906,2377.043,2376.951
metric__ds,0.000,0.000,0.000,0.000,0.041,0.000,0.000,0.000,0.000,0.000
metric__lps,2376.940,2377.072,2376.950,2376.917,2376.919,2377.010,2377.097,2376.899,2376.936,2376.991
metric__lds,0.250,0.194,0.211,0.005,0.259,0.134,0.210,0.253,0.261,0.085
