run_id,10,3,8,22,1,36,28
latent_dim,128,128,128,128,32,128,128
lr,0.0005,0.0005,0.0005,0.001,0.0005,0.0001,0.0005
beta,0.1,1,1,0.3,0.1,0.1,0.3
gate_weight,10,5,5,10,10,5,10
recon_weight,10,20,5,1,5,1,20
tc_weight,0.5,1,0,0,0,1,0
elapsed_s,255.7,550.2,390.1,255.5,275.8,288.8,271.5
metric__zero_ratio_diff,0.015,0.023,0.020,0.034,0.007,0.014,0.012
metric__mean_diff,617.524,4178.317,3043.261,549.985,4516.269,170.717,1001.164
metric__std_diff,795.339,8184.178,6332.825,503.951,8878.384,375.631,1507.860
metric__skewness_diff,0.313,0.302,0.032,0.253,0.560,0.145,0.385
metric__kurtosis_diff,1.926,2.930,0.916,1.044,4.885,2.227,2.477
metric__quantile_10_diff,0.000,0.000,0.000,0.000,0.000,0.000,0.000
metric__quantile_25_diff,0.000,0.000,0.000,0.000,0.000,0.000,0.000
metric__quantile_50_diff,0.000,0.000,0.000,0.000,0.000,0.000,0.000
metric__quantile_75_diff,2830.178,7420.989,5425.259,3254.340,5584.768,1320.000,3566.197
metric__quantile_90_diff,2161.948,14578.944,9869.617,1424.636,18578.495,771.441,3645.603
metric__quantile_95_diff,2221.229,22659.868,16739.468,1195.924,26456.066,1445.158,4086.989
metric__quantile_99_diff,2245.594,39042.171,31947.538,1258.759,37046.733,2008.927,5097.523
metric__mean_quantile_diff,1351.279,11957.425,9140.269,1019.094,12523.723,792.218,2342.330
metric__autocorr_mae,0.080,0.039,0.031,0.074,0.083,0.081,0.066
metric__wasserstein_distance,1695.392,13970.431,10200.098,742.753,16727.510,775.787,3238.699
metric__kl_divergence,0.115,1.038,0.667,0.086,0.928,0.134,0.249
metric__mmd,0.002,0.002,0.002,0.002,0.002,0.002,0.002
metric__ps,2376.919,2376.904,2377.047,2376.890,2376.948,2376.989,2377.096
metric__ds,0.000,0.000,0.000,0.000,0.000,0.000,0.000
metric__lps,2377.067,2376.934,2376.968,2376.911,2376.876,2376.910,2377.065
metric__lds,0.060,0.099,0.077,0.096,0.099,0.185,0.059
