run_id,model,data,latent_dim,lr,beta,gate_weight,recon_weight,tc_weight,elapsed_s,status,metric__zero_ratio_real,metric__zero_ratio_synthetic,metric__zero_ratio_diff,metric__mean_real,metric__mean_synthetic,metric__mean_diff,metric__std_real,metric__std_synthetic,metric__std_diff,metric__skewness_real,metric__skewness_synthetic,metric__skewness_diff,metric__kurtosis_real,metric__kurtosis_synthetic,metric__kurtosis_diff,metric__quantile_10_diff,metric__quantile_25_diff,metric__quantile_50_diff,metric__quantile_75_diff,metric__quantile_90_diff,metric__quantile_95_diff,metric__quantile_99_diff,metric__mean_quantile_diff,metric__autocorr_mae,metric__wasserstein_distance,metric__kl_divergence,metric__mmd,metric__ps,metric__ds,metric__lps,metric__lds
0,zits-vae,iot,128,0.001,1.0,1.0,20.0,0.5,772.5,ok,0.7410672443028625,0.699347397260274,0.041719847042588576,2568.7263168092522,14698.96681456971,12130.240497760458,5633.432110483928,26391.28607898137,20757.853968497442,2.851070761373232,1.5871471826282837,1.2639235787449483,9.791734012244946,0.9537009434791748,8.838033068765771,0.0,0.0,0.0,18093.66455078125,60289.6984375,64489.0,53642.0,28073.48042689732,0.0350261675771932,38969.76523813606,2.212276139697203,0.002,2376.945673435986,0.0,2376.948851834333,0.28500000000000003
1,zits-vae,iot,32,0.0005,0.1,10.0,5.0,0.0,275.8,ok,0.7410672443028625,0.7341260273972603,0.006941216905602232,2568.7263168092522,7084.995724890038,4516.269408080786,5633.432110483928,14511.815915890229,8878.383805406302,2.851070761373232,2.290771829885385,0.5602989314878468,9.791734012244946,4.906534072053406,4.885199940191541,0.0,0.0,0.0,5584.7681884765625,18578.494531250006,26456.066210937453,37046.733046875,12523.723139648431,0.08262561763276831,16727.509871869268,0.9278628208958457,0.002,2376.9481685835717,0.0,2376.875554587281,0.09899999999999998
2,zits-vae,iot,32,0.001,0.3,1.0,1.0,2.0,714.3,ok,0.7410672443028625,0.7404180821917808,0.0006491621110816803,2568.7263168092522,11365.355005390024,8796.628688580771,5633.432110483928,23239.409486294022,17605.977375810093,2.851070761373232,2.0247536750265787,0.8263170863466534,9.791734012244946,2.7346715370201347,7.057062475224812,0.0,0.0,0.0,9038.837158203125,43219.693359375044,64489.0,53642.0,24341.36150251117,0.0366310476675755,33862.86991947161,3.011078543257909,0.002,2376.853170269668,0.0,2377.0663935870884,0.08399999999999996
3,zits-vae,iot,128,0.0005,1.0,5.0,20.0,1.0,566.7,ok,0.7410672443028625,0.7198043835616439,0.021262860741218637,2568.7263168092522,6725.420909589075,4156.694592779822,5633.432110483928,13712.828433521336,8079.3963230374075,2.851070761373232,2.5115036192479154,0.3395671421253166,9.791734012244946,6.649813222269415,3.141920789975531,0.0,0.0,0.0,7430.8583984375,14701.443359375,22337.722656249985,37878.853281250034,11764.125385044646,0.04013862648223989,14082.153582194114,1.055956231071331,0.002,2376.994086197567,0.0,2376.9098459685324,0.10150000000000003
4,zits-vae,iot,32,0.0001,1.0,10.0,1.0,2.0,783.5,ok,0.7410672443028625,0.7375167123287671,0.0035505319740953833,2568.7263168092522,9892.251033236173,7323.52471642692,5633.432110483928,20184.78030780863,14551.3481973247,2.851070761373232,2.129402105502747,0.7216686558704852,9.791734012244946,3.50282238218552,6.2889116300594265,0.0,0.0,0.0,9084.316650390625,31761.433593750022,48490.691406249985,53642.0,20425.491664341516,0.040939164214930504,27766.72735706489,2.732074117902712,0.002,2376.99279500612,0.0,2376.981051146531,0.04749999999999999
5,zits-vae,iot,32,0.0001,0.5,5.0,5.0,0.5,746.6,ok,0.7410672443028625,0.7382060273972603,0.0028612169056022596,2568.7263168092522,10292.051906321201,7723.325589511949,5633.432110483928,21329.63943973275,15696.20732924882,2.851070761373232,2.1387669550837236,0.7123038062895084,9.791734012244946,3.4013330780353206,6.390400934209626,0.0,0.0,0.0,7704.703125,34939.24335937502,54880.589453124965,53642.0,21595.219419642854,0.04011146831133817,29393.117757636406,2.050283233301844,0.002,2376.8894185869217,0.0,2377.0157273766995,0.21899999999999997
6,zits-vae,iot,32,0.0001,0.3,5.0,10.0,0.5,494.7,ok,0.7410672443028625,0.7155654794520548,0.025501764850807684,2568.7263168092522,9926.989182386107,7358.262865576855,5633.432110483928,19752.786225421645,14119.354114937716,2.851070761373232,2.1158828967825323,0.7351878645906997,9.791734012244946,3.5205413410886637,6.271192671156283,0.0,0.0,0.0,9648.34326171875,30835.313671875083,46351.530859374914,53642.0,20068.169684709825,0.06155488119084742,24980.351111997737,1.5303461836350978,0.00202,2376.949030407703,0.0,2376.9991243918894,0.1895
7,zits-vae,iot,32,0.0005,0.3,10.0,20.0,0.5,331.1,ok,0.7410672443028625,0.7205890410958904,0.020478203206972134,2568.7263168092522,8532.715004181982,5963.98868737273,5633.432110483928,16949.838428152412,11316.406317668483,2.851070761373232,2.1894788773423266,0.6615918840309054,9.791734012244946,4.2224165912089076,5.569317421036039,0.0,0.0,0.0,9051.9365234375,23675.70390625004,34539.389843749974,47167.157421875,16347.74109933036,0.06446555981588642,20617.788104132414,1.3759335047580654,0.002,2376.924796766603,0.0,2376.867477573359,0.1765
8,zits-vae,iot,128,0.0005,1.0,5.0,5.0,0.0,424.3,ok,0.7410672443028625,0.7292657534246575,0.011801490878205034,2568.7263168092522,5748.7552702015,3180.028953392248,5633.432110483928,12538.949722357042,6905.517611873113,2.851070761373232,2.8393663385435866,0.011704422829645456,9.791734012244946,8.774634426476721,1.017099585768225,0.0,0.0,0.0,4802.4183349609375,10545.831835937523,18691.461132812503,34848.49125000001,9841.171793387282,0.02376492729286937,11313.504054408888,0.6761720234396692,0.00202,2377.0937828942774,0.0,2376.9829054875613,0.05500000000000005
9,zits-vae,iot,32,0.0005,0.1,5.0,1.0,0.5,307.1,ok,0.7410672443028625,0.7281660273972603,0.012901216905602197,2568.7263168092522,7015.298730266764,4446.572413457512,5633.432110483928,14020.043967662812,8386.611857178883,2.851070761373232,2.2539796746517755,0.5970910867214565,9.791734012244946,4.877177674659924,4.914556337585022,0.0,0.0,0.0,7343.001953125,17557.664062500007,24402.83652343745,34894.50796875001,12028.28721540178,0.0785862644857723,15886.85421610288,1.0905757258509374,0.002,2376.925024994445,0.0,2376.9991896179436,0.02949999999999997
