run_id,model,data,latent_dim,lr,betas_0,gate_weight,recon_weight,tc_weight,fm_weight,elapsed_s,status,metric__zero_ratio_real,metric__zero_ratio_synthetic,metric__zero_ratio_diff,metric__mean_real,metric__mean_synthetic,metric__mean_diff,metric__std_real,metric__std_synthetic,metric__std_diff,metric__skewness_real,metric__skewness_synthetic,metric__skewness_diff,metric__kurtosis_real,metric__kurtosis_synthetic,metric__kurtosis_diff,metric__quantile_10_diff,metric__quantile_25_diff,metric__quantile_50_diff,metric__quantile_75_diff,metric__quantile_90_diff,metric__quantile_95_diff,metric__quantile_99_diff,metric__mean_quantile_diff,metric__autocorr_mae,metric__wasserstein_distance,metric__kl_divergence,metric__mmd,metric__ps,metric__ds,metric__lps,metric__lds
10,zits-gan,m5,64,0.0001,0.0,1.0,5.0,0.5,2.0,519.5,ok,0.5921944315899667,0.5504536986301369,0.04174073295982972,1.310631466863153,0.781453698630137,0.5291777682330159,3.6336956717358913,1.0194283822252155,2.6142672895106758,11.503374271991726,1.5486796632211228,9.954694608770604,284.5672229888064,5.375170361159327,279.19205262764706,0.0,0.0,0.0,1.0,1.0,4.0,12.0,2.5714285714285716,0.07925361290059522,1.55856130649509,0.9094112685002099,0.0020000018457515156,1.3486551542401313,0.0,1.3815834009408952,0.38849999999999996
11,zits-gan,m5,64,5e-05,0.5,5.0,10.0,2.0,1.0,242.6,ok,0.5921944315899667,0.5941852054794521,0.001990773889485431,1.310631466863153,0.6658849315068494,0.6447465353563036,3.6336956717358913,0.9597556754832219,2.6739399962526695,11.503374271991726,1.6535651354475909,9.849809136544135,284.5672229888064,4.071002256669844,280.4962207321366,0.0,0.0,0.0,0.0,1.0,4.0,12.0,2.4285714285714284,0.06981276131389434,1.573004405611283,0.9670145245079831,0.002000000002620984,1.329415424311161,0.17049999999999998,1.3913960731387138,0.34850000000000003
12,zits-gan,m5,32,5e-05,0.0,10.0,10.0,2.0,1.0,242.3,ok,0.5921944315899667,0.570718904109589,0.02147552748037762,1.310631466863153,8.984555616438357,7.673924149575203,3.6336956717358913,10.618724291580671,6.98502861984478,11.503374271991726,0.40994382743277014,11.093430444558956,284.5672229888064,-1.7168770484574936,286.2841000372639,0.0,0.0,0.0,20.0,21.0,18.0,9.0,9.714285714285714,0.07855929362373294,18.016129002003286,6.937562398276098,0.0020000052807826337,1.3892698746681214,0.28400000000000003,1.3349422944307328,0.494
13,zits-gan,m5,32,5e-05,0.0,5.0,20.0,1.0,1.0,250.9,ok,0.5921944315899667,0.5717161643835617,0.020478267206405,1.310631466863153,7.247460821917808,5.936829355054655,3.6336956717358913,8.724993315017223,5.091297643281331,11.503374271991726,0.5105617919706122,10.992812480021113,284.5672229888064,-1.5006598684543258,286.0678828572607,0.0,0.0,0.0,15.0,17.0,16.0,8.0,8.0,0.07579389812288488,14.008920030063269,5.509209208830796,0.0020000000002332622,1.3874132013320923,0.0,1.3562039069652558,0.49250000000000005
14,zits-gan,m5,64,0.0002,0.0,10.0,5.0,1.0,2.0,456.3,ok,0.5921944315899667,0.8103934246575343,0.21819899306756763,1.310631466863153,1.2835293150684932,0.02710215179465969,3.6336956717358913,2.8894865930355875,0.7442090787003037,11.503374271991726,2.2010044664431088,9.302369805548617,284.5672229888064,4.0924707685827695,280.47475222022365,0.0,0.0,0.0,1.0,3.0,2.0,4.0,1.4285714285714286,0.022034247810320977,4.179538931294278,0.4081673792670092,0.0020000052640637934,1.329435949680209,0.0,1.3683957220196723,0.48650000000000004
15,zits-gan,m5,32,5e-05,0.0,10.0,5.0,0.0,0.5,252.0,ok,0.5921944315899667,0.5860783561643835,0.006116075425583123,1.310631466863153,9.040861917808218,7.730230450945065,3.6336956717358913,10.953807364707721,7.32011169297183,11.503374271991726,0.4359440953602216,11.067430176631504,284.5672229888064,-1.7364317290434648,286.3036547178499,0.0,0.0,0.0,22.0,21.0,18.0,9.0,10.0,0.08185487333395396,18.928787197625365,5.479875038354691,0.002000000000429925,1.3437705848753452,0.14300000000000002,1.3846364815950394,0.498
16,zits-gan,m5,64,0.0002,0.0,1.0,10.0,1.0,0.5,243.6,ok,0.5921944315899667,0.5785917808219178,0.013602650768048896,1.310631466863153,0.6792756164383562,0.6313558504247967,3.6336956717358913,0.9914983713924774,2.6421973003434136,11.503374271991726,2.0385384487074676,9.464835823284258,284.5672229888064,7.59724657982429,276.9699764089821,0.0,0.0,0.0,0.0,1.0,3.0,11.0,2.142857142857143,0.04553176817274436,1.6019452960141944,0.9181757215411155,0.0020000000051899943,1.4097994676470758,0.0,1.357751382136345,0.23250000000000004
17,zits-gan,m5,64,5e-05,0.5,10.0,5.0,0.5,1.0,242.7,ok,0.5921944315899667,0.5649353424657534,0.027259089124213265,1.310631466863153,9.28769095890411,7.977059492040956,3.6336956717358913,10.85249519669816,7.218799524962268,11.503374271991726,0.38332600954423546,11.12004826244749,284.5672229888064,-1.7494508493558942,286.3166738381623,0.0,0.0,0.0,21.0,21.0,18.0,9.0,9.857142857142858,0.07981826849242664,18.43466313295832,6.310185835882813,0.0020000185161185473,1.3924640289902688,0.0,1.3917376103758812,0.49750000000000005
18,zits-gan,m5,128,0.0002,0.5,1.0,10.0,0.0,0.5,2375.8,ok,0.5921944315899667,0.5590849315068493,0.033109500083117305,1.310631466863153,9.616188493150686,8.305557026287532,3.6336956717358913,10.95244532468543,7.318749652949538,11.503374271991726,0.296262052886892,11.207112219104834,284.5672229888064,-1.8554079317141066,286.42263092052053,0.0,0.0,0.0,21.0,21.0,18.0,9.0,9.857142857142858,0.08003550105720761,18.8964388993398,9.193868236339933,0.0020000022899032133,1.307794596886635,0.0,1.3627706386089324,0.49950000000000006
19,zits-gan,m5,64,0.0001,0.5,5.0,10.0,0.5,0.5,217.3,ok,0.5921944315899667,0.588508493150685,0.0036859384392816663,1.310631466863153,0.8089506849315069,0.501680781931646,3.6336956717358913,1.1665429057658707,2.4671527659700203,11.503374271991726,1.587138986454236,9.91623528553749,284.5672229888064,3.259623707113138,281.3075992816933,0.0,0.0,0.0,1.0,1.0,3.0,11.0,2.2857142857142856,0.06250926444628675,1.382172733606025,0.9147482644136106,0.0020000007306858487,1.3543394366681576,0.0,1.3881747360944747,0.32099999999999995
