run_id,4,1,2,8,5,14,7,0,16
latent_dim,32,128,128,64,32,64,64,64,64
lr,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002,5.00E-05,0.0001,0.0002
betas_0,0,0,0,0.5,0,0,0.5,0,0
gate_weight,1,10,10,10,5,10,10,1,1
recon_weight,10,5,5,10,10,5,1,20,10
tc_weight,0,0.5,0,2,0.5,1,0,0,1
fm_weight,2,0.5,1,1,2,2,1,2,0.5
elapsed_s,242.7,362.1,342.2,242.2,404.7,456.3,537.7,242.1,243.6
metric__zero_ratio_diff,0.004,0.142,0.170,0.021,0.042,0.218,0.145,0.036,0.014
metric__mean_diff,0.606,0.239,0.288,0.594,0.308,0.027,0.687,0.947,0.631
metric__std_diff,2.601,1.462,1.495,2.602,0.561,0.744,2.427,0.969,2.642
metric__skewness_diff,9.542,9.370,9.434,9.344,9.434,9.302,9.303,10.952,9.465
metric__kurtosis_diff,277.476,280.295,280.982,274.517,281.378,280.475,278.286,285.783,276.970
metric__quantile_10_diff,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
metric__quantile_25_diff,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
metric__quantile_50_diff,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
metric__quantile_75_diff,0.000,0.000,1.000,0.000,0.000,1.000,0.000,4.000,0.000
metric__quantile_90_diff,1.000,2.000,2.000,1.000,4.000,3.000,0.000,3.000,1.000
metric__quantile_95_diff,3.000,0.000,0.000,3.000,4.000,2.000,3.000,1.000,3.000
metric__quantile_99_diff,11.000,7.000,7.000,11.000,3.000,4.000,11.000,7.000,11.000
metric__mean_quantile_diff,2.143,1.286,1.429,2.143,1.571,1.429,2.000,2.143,2.143
metric__autocorr_mae,0.063,0.171,0.127,0.060,0.123,0.022,0.059,0.077,0.046
metric__wasserstein_distance,1.503,1.881,2.205,1.543,1.945,4.180,1.374,3.087,1.602
metric__kl_divergence,0.908,0.230,0.249,0.542,0.525,0.408,0.518,0.457,0.918
metric__mmd,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
metric__ps,1.372,1.316,1.333,1.349,1.380,1.329,1.392,1.372,1.410
metric__ds,0.000,0.004,0.000,0.000,0.000,0.000,0.146,0.026,0.000
metric__lps,1.348,1.341,1.370,1.364,1.347,1.368,1.373,1.344,1.358
metric__lds,0.297,0.458,0.447,0.324,0.456,0.487,0.398,0.469,0.233
