run_id,8,9,1,7,27,20,21,10,3
latent_dim,128,32,32,32,128,32,64,128,128
lr,0.0005,0.0005,0.0005,0.0005,0.001,0.0001,0.0001,0.0005,0.0005
beta,1,0.1,0.1,0.3,1,0.3,0.3,0.1,1
gate_weight,5,5,10,10,10,10,5,10,5
recon_weight,5,1,5,20,1,20,10,10,20
tc_weight,0,0.5,0,0.5,1,0,1,0.5,1
elapsed_s,370.6,220.6,175.7,261.1,259.9,273.7,288.7,238.1,437.8
metric__zero_ratio_diff,0.022,0.002,0.015,0.012,0.001,0.015,0.014,0.004,0.034
metric__mean_diff,0.300,0.517,0.449,0.825,0.250,0.880,0.484,0.437,1.374
metric__std_diff,1.296,0.942,1.139,0.434,1.952,0.231,0.931,2.339,0.407
metric__skewness_diff,9.719,9.811,9.960,9.617,8.959,9.408,9.544,9.724,9.517
metric__kurtosis_diff,280.246,281.154,281.866,280.188,272.153,279.179,279.432,279.749,280.135
metric__quantile_10_diff,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
metric__quantile_25_diff,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
metric__quantile_50_diff,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
metric__quantile_75_diff,2.000,2.000,2.000,3.000,1.000,3.000,2.000,1.000,3.000
metric__quantile_90_diff,2.000,3.000,2.000,3.000,0.000,3.000,2.000,0.000,5.000
metric__quantile_95_diff,0.000,1.000,1.000,2.000,2.000,3.000,1.000,3.000,5.000
metric__quantile_99_diff,5.000,4.000,5.000,1.000,8.000,0.000,3.000,10.000,3.000
metric__mean_quantile_diff,1.286,1.429,1.429,1.286,1.571,1.286,1.143,2.000,2.286
metric__autocorr_mae,0.046,0.061,0.064,0.058,0.023,0.067,0.068,0.024,0.058
metric__wasserstein_distance,1.545,2.029,1.896,2.389,1.121,2.404,1.763,1.279,3.228
metric__kl_divergence,0.222,0.225,0.237,0.236,0.251,0.242,0.213,0.397,0.286
metric__mmd,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
metric__ps,1.370,1.326,1.372,1.373,1.373,1.295,1.344,1.338,1.345
metric__ds,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.142
metric__lps,1.341,1.344,1.357,1.354,1.350,1.339,1.339,1.351,1.330
metric__lds,0.396,0.416,0.407,0.424,0.275,0.404,0.388,0.286,0.397
