run_id,model,data,latent_dim,lr,beta,gate_weight,recon_weight,tc_weight,elapsed_s,status,metric__zero_ratio_real,metric__zero_ratio_synthetic,metric__zero_ratio_diff,metric__mean_real,metric__mean_synthetic,metric__mean_diff,metric__std_real,metric__std_synthetic,metric__std_diff,metric__skewness_real,metric__skewness_synthetic,metric__skewness_diff,metric__kurtosis_real,metric__kurtosis_synthetic,metric__kurtosis_diff,metric__quantile_10_diff,metric__quantile_25_diff,metric__quantile_50_diff,metric__quantile_75_diff,metric__quantile_90_diff,metric__quantile_95_diff,metric__quantile_99_diff,metric__mean_quantile_diff,metric__autocorr_mae,metric__wasserstein_distance,metric__kl_divergence,metric__mmd,metric__ps,metric__ds,metric__lps,metric__lds
0,zits-vae,m5,128,0.001,1.0,1.0,20.0,0.5,335.3,ok,0.5921944315899667,0.5584536986301369,0.03374073295982971,1.310631466863153,3.9151868493150683,2.6045553824519154,3.6336956717358913,6.0093440610884805,2.3756483893525893,11.503374271991726,1.862417860864499,9.640956411127227,284.5672229888064,2.9725986724265185,281.5946243163799,0.0,0.0,0.0,5.0,9.0,13.0,9.0,5.142857142857143,0.0676684869632991,5.953813011672457,0.47597514952899533,0.002002092326042672,1.3273479741185903,0.0,1.3891521120786667,0.45199999999999996
1,zits-vae,m5,32,0.0005,0.1,10.0,5.0,0.0,175.7,ok,0.5921944315899667,0.5776186301369863,0.01457580145298032,1.310631466863153,1.7592531506849316,0.4486216838217787,3.6336956717358913,2.494724487716702,1.1389711840191894,11.503374271991726,1.543180369188328,9.960193902803399,284.5672229888064,2.701310756878672,281.8659122319277,0.0,0.0,0.0,2.0,2.0,1.0,5.0,1.4285714285714286,0.06413411888620214,1.8955608889627378,0.23689374313136166,0.00200000000058381,1.372017338144779,0.0,1.3571557695150376,0.40700000000000003
2,zits-vae,m5,32,0.001,0.3,1.0,1.0,2.0,468.3,ok,0.5921944315899667,0.5732761643835617,0.018918267206404993,1.310631466863153,3.394741917808219,2.084110450945066,3.6336956717358913,5.386053443388527,1.752357771652636,11.503374271991726,2.0544754444319238,9.448898827559802,284.5672229888064,4.0313329434457845,280.53589004536065,0.0,0.0,0.0,4.0,7.0,11.0,8.0,4.285714285714286,0.065786156222143,5.0421829681655135,0.3759300426874389,0.0020000000001874907,1.3861835341930389,0.0,1.3914410732269287,0.4335
3,zits-vae,m5,128,0.0005,1.0,5.0,20.0,1.0,437.8,ok,0.5921944315899667,0.5586810958904109,0.033513335699555724,1.310631466863153,2.684329315068493,1.3736978482053401,3.6336956717358913,4.041139364231408,0.4074436924955167,11.503374271991726,1.9865725586101322,9.516801713381593,284.5672229888064,4.4326105791357024,280.1346124096707,0.0,0.0,0.0,3.0,5.0,5.0,3.0,2.2857142857142856,0.05801474795522542,3.2282333956617304,0.28628136586035113,0.002000000012693408,1.3448294619619847,0.14200000000000002,1.3300105393350123,0.39649999999999996
4,zits-vae,m5,32,0.0001,1.0,10.0,1.0,2.0,508.7,ok,0.5921944315899667,0.5826564383561644,0.009537993233802222,1.310631466863153,2.841265205479452,1.5306337386162991,3.6336956717358913,4.276360567511197,0.6426648957753054,11.503374271991726,1.7841917812679255,9.719182490723801,284.5672229888064,3.17329744916235,281.39392553964404,0.0,0.0,0.0,4.0,6.0,6.0,3.0,2.7142857142857144,0.058697610382138096,3.9606468057875555,0.3501115288730368,0.002000005392471943,1.3536017870128154,0.06999999999999995,1.3304111247301103,0.4535
5,zits-vae,m5,32,0.0001,0.5,5.0,5.0,0.5,589.3,ok,0.5921944315899667,0.5740619178082191,0.018132513781747517,1.310631466863153,2.99845698630137,1.687825519438217,3.6336956717358913,4.6449655559938225,1.0112698842579313,11.503374271991726,1.9552135388000045,9.548160733191722,284.5672229888064,3.820159495017873,280.7470634937885,0.0,0.0,0.0,4.0,6.0,8.0,5.0,3.2857142857142856,0.05615083892161525,4.156176921092492,0.3476076684096875,0.0020000002505899924,1.3429490965425968,0.0,1.35598226031065,0.43000000000000005
6,zits-vae,m5,32,0.0001,0.3,5.0,10.0,0.5,344.1,ok,0.5921944315899667,0.5821819178082192,0.0100125137817475,1.310631466863153,2.4807967123287673,1.1701652454656144,3.6336956717358913,3.909536706713453,0.27584103497756196,11.503374271991726,2.0969814607962705,9.406392811195456,284.5672229888064,5.0010853148021575,279.56613767400427,0.0,0.0,0.0,3.0,4.0,5.0,3.0,2.142857142857143,0.06254413827245217,3.0873321082271015,0.27973519525508656,0.0020000049647158624,1.3598359712660313,0.0014999999999999458,1.359643515598774,0.43799999999999994
7,zits-vae,m5,32,0.0005,0.3,10.0,20.0,0.5,261.1,ok,0.5921944315899667,0.5799117808219179,0.012282650768048797,1.310631466863153,2.1352712328767125,0.8246397660135596,3.6336956717358913,3.1992149371531697,0.4344807345827215,11.503374271991726,1.886319908406982,9.617054363584744,284.5672229888064,4.379446550778463,280.1877764380279,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.2857142857142858,0.05772073799307775,2.389217227274006,0.23633111903261128,0.002000005601495579,1.373252777838707,0.0,1.3537299057483674,0.4235
8,zits-vae,m5,128,0.0005,1.0,5.0,5.0,0.0,370.6,ok,0.5921944315899667,0.5700553424657534,0.02213908912421325,1.310631466863153,1.610145205479452,0.29951373861629915,3.6336956717358913,2.3376198129452685,1.2960758587906227,11.503374271991726,1.7847797904370062,9.71859448155472,284.5672229888064,4.321435107457145,280.24578788134926,0.0,0.0,0.0,2.0,2.0,0.0,5.0,1.2857142857142858,0.046383345898405544,1.5451422675902604,0.222348523683011,0.0020000446644449724,1.3697895937681197,0.0,1.340703901463747,0.396
9,zits-vae,m5,32,0.0005,0.1,5.0,1.0,0.5,220.6,ok,0.5921944315899667,0.5899819178082192,0.0022125137817474716,1.310631466863153,1.8276230136986302,0.5169915468354773,3.6336956717358913,2.6915683942952295,0.9421272774406617,11.503374271991726,1.6928092059408943,9.810565066050831,284.5672229888064,3.4136243950477185,281.1535985937587,0.0,0.0,0.0,2.0,3.0,1.0,4.0,1.4285714285714286,0.060523315950546684,2.0294151135433247,0.2254098782021575,0.002000000002094775,1.3261387724369764,0.008000000000000007,1.3442834355831146,0.41600000000000004
