metric,zip,hurdle,chronogan,fide,timegan,timeVAE,transfusion,tsgm_timegan,tsgm_vae,vae_conv,vae_dense,zits-gan,zits-vae
zero_ratio_diff,0.000,0.000,0.741,0.738,0.741,0.741,0.259,0.741,0.259,0.741,0.741,0.038,0.033
mean_diff,0.875,126.161,33346.692,5.416E+15,2065.565,168.325,2568.678,2568.659,2568.678,6.707,19.740,4398.975,868.382
std_diff,1270.590,1072.073,5480.410,2.937E+17,5365.193,3209.705,5633.385,5633.364,5633.385,3030.255,3185.301,7989.278,1150.489
skewness_diff,1.725,2.125,5.055,46.332,16.093,1.376,1789.021,11.268,,1.181,1.087,0.506,0.450
kurtosis_diff,10.482,39.903,58.871,6690.226,348.061,7.005,3320978.786,203.817,,5.848,5.104,4.157,12.008
quantile_10_diff,0.000,0.000,35890.068,17801.733,488.254,0.240,0.000,0.017,0.000,27.420,193.722,0.000,0.000
quantile_25_diff,0.000,0.000,35890.079,7643.096,488.254,518.567,0.000,0.017,0.000,620.217,736.776,0.000,0.000
quantile_50_diff,0.000,0.000,35890.086,6149.484,488.254,1692.508,0.000,0.017,0.000,1821.880,1892.238,0.000,0.000
quantile_75_diff,7558.000,495.366,34570.100,28394.277,831.745,2314.737,1320.000,1319.983,1320.000,2455.984,2295.717,8302.699,3832.414
quantile_90_diff,116.000,470.329,25839.723,4.038E+07,9562.639,4317.487,10051.000,10050.983,10051.000,3984.172,4288.992,15838.265,3478.858
quantile_95_diff,3958.000,300.304,21136.788,5.912E+09,14302.394,7619.861,14791.000,14790.983,14791.000,7068.290,7479.472,22830.777,2177.363
quantile_99_diff,14388.000,5061.068,11182.546,1.554E+14,25149.185,15261.348,25638.000,25637.948,25638.000,14192.164,14506.598,35124.130,2168.355
mean_quantile_diff,3717.143,903.867,28628.484,2.220E+13,7330.104,4532.107,7400.000,7399.993,7400.000,4310.018,4484.788,11727.982,1665.284
autocorr_mae,0.114,0.116,0.885,0.089,0.643,0.275,0.117,0.877,,0.256,0.134,0.062,0.099
wasserstein_distance,4697.777,1077.212,26047.207,1.165E+16,9417.831,7222.204,9919.472,9919.655,,7255.194,7167.625,13524.903,2257.330
kl_divergence,18.669,0.018,36.670,0.001,31.029,2.570,20.166,34.747,,1.838,2.086,0.867,0.142
mmd,0.002,0.002,0.899,0.002,0.904,0.002,1.001,1.001,1.001,0.002,0.023,0.002,0.002
ps,2699.790,2699.640,2676.934,2788.026,2570.488,2577.542,2846.918,2676.752,2676.767,2577.607,2577.571,2570.251,2570.414
ds,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000
lps,2699.660,2699.811,2676.740,2788.177,2570.370,2577.660,2846.984,2676.729,2676.745,2577.638,2577.500,2570.362,2570.405
lds,0.331,0.318,0.500,0.000,0.500,0.437,0.500,0.500,0.500,0.489,0.467,0.093,0.223
