metric,ChronoGAN,FIDE,TimeGAN,TimeVAE,TransFusion,TSGM-TimeGAN,TSGM-TimeVAE,VAE-Conv,VAE-Dense,ZITS-GAN,ZITS-VAE
Synthetic 0 ratio,1,0,0,0,0,0,0.736,0,0,0.581,0.578
Δ 0 ratio,0.408,0.592,0.592,0.592,0.592,0.592,0.144,0.592,0.592,0.012,0.014
Δ mean,1.311,199.76,0.494,0.493,0.671,1.295,1.311,0.359,0.359,0.340,0.687
Δ std,3.634,709.88,3.295,3.224,3.434,3.616,3.634,3.314,3.314,1.156,2.758
Δ skewness,nan,14.045,11.47,7.486,10.90,3.841,1875,11.45,11.45,9.621,9.637
Δ Kurtosis,nan,1085.6,283.3,74.48,285.4,33.86,4.2e06,283.4,283.4,279.9,276.96
Autocorr. MAE,nan,0.324,0.296,0.405,0.348,0.896,0.138,0.289,0.289,0.056,0.063
ΔQ10,0.000,7.327,1.403,0.795,0.417,0.015,0.000,1.286,1.286,0.000,0.000
ΔQ25,0.000,24.73,1.558,0.795,0.475,0.015,0.000,1.436,1.436,0.000,0.000
ΔQ50,0.000,72.59,1.758,0.795,0.585,0.015,0.000,1.629,1.629,0.000,0.000
ΔQ75,1.000,151.05,1.058,0.205,0.218,0.985,1.000,0.909,0.909,2.000,0.000
ΔQ90,3.000,413.32,0.697,2.203,2.000,2.985,3.000,0.859,0.859,2.000,1.000
ΔQ95,6.000,730.37,3.601,5.201,5.000,5.985,6.000,3.772,3.772,1.000,4.000
ΔQ99,15.00,2158.6,12.42,14.18,14.00,14.96,15.00,12.61,12.61,5.000,12.00
ΔQmean,3.571,508.29,3.215,3.455,3.242,3.566,3.571,3.215,3.215,1.429,2.429
Wasserstein distance,nan,207.252,1.855,2.396,2.574,3.198,3.214,1.885,1.885,1.599,1.736
KL divergence,nan,0.010,3.488,0.974,2.701,3.476,3.343,2.783,2.783,0.235,0.980
MMD,1.000,0.002,1.001,1.001,0.019,1.001,0.997,1.001,1.001,0.002,0.002
PS,1.368,1.359,1.392,1.438,1.618,1.374,1.356,1.385,1.440,1.383,1.432
DS,0.000,0.324,0.010,0.159,0.000,0.009,0.000,0.000,0.000,0.000,0.000
LPS,1.388,1.198,1.469,1.482,1.609,1.343,1.344,1.459,1.467,1.448,1.408
LDS,0.343,0.483,0.448,0.331,0.100,0.368,0.389,0.385,0.494,0.213,0.126
