metric,ChronoGAN,FIDE,TimeGAN,TimeVAE,TransFusion,TSGM-TimeGAN,TSGM-TimeVAE,VAE-Conv,VAE-Dense,ZITS-GAN,ZITS-VAE
Synthetic 0 ratio,0,0.004,0,0,0.999,0,1,0,0,0.703,0.708
Δ 0 ratio,0.741,0.738,0.741,0.741,0.259,0.741,0.259,0.741,0.741,0.038,0.033
Δ mean,33347,5.4e15,12.87,2066,2569,2569,2569,4.658,19.74,4399,868.38
Δ std,5480,2.9e17,3112,5365,5633,5633,5633,3288,3185,7989,1150
Δ skewness,5.055,46.332,1.348,16.09,1789,11.268,nan,1.4,1.087,0.506,0.45
Δ kurtosis,58.87,6690,6.842,348.0,3.3e06,203.81,nan,7.194,5.104,4.157,12.008
Autocorr. MAE,0.885,0.089,0.254,0.643,0.117,0.877,nan,0.133,0.134,0.062,0.099
ΔQ10,35890,17802,47.58,488.2,0,0.017,0,155.9,193.7,0,0
ΔQ25,35890,7643,620.9,488.2,0,0.017,0,830.7,736.7,0,0
ΔQ50,35890,6149,1814,488.2,0,0.017,0,1937,1892,0,0
ΔQ75,34570,28394,2494,832,1320,1320,1320,2322,2296,8303,3832
ΔQ90,25840,4.0e07,4031,9563,10051,10051,10051,4197,4289,15838,3479
ΔQ95,21137,5.9e09,7251,14302,14791,14791,14791,7511,7479,22831,2177
ΔQ99,11183,1.6e14,14758,25149,25638,25638,25638,15380,14507,35124,2168
ΔQmean,28628,2.2e13,4431,7330,7400,7400,7400,4619,4485,11728,1665
Wasserstein distance,26047,1.2e16,7101,9418,9919,9920,nan,7322,7168,13525,2257
KL divergence,36.67,0.001,2.387,31.029,20.166,34.74,nan,3.472,2.086,0.867,0.142
MMD,0.902,0.002,0.002,0.898,1.001,1.001,1.001,0.002,0.021,0.002,0.002
PS,2677,2788,2578,2570,2847,2677,2677,2578,2578,2570,2570
DS,0,0,0,0.5,0,0.276,0,0,0.267,0,0.004
LPS,2847,2847,2847,2847,2847,2847,2847,2847,2847,2153,2153
LDS,0.498,0.497,0.416,0.469,0.5,0.5,0.5,0.468,0.4,0,0.248
